test,test,test
11,SURPRISE!,UNDER CONSTRUCTION
12,Komagome,Komagome Station is a railway station in Toshima; Tokyo; Japan; operated by the East Japan Railway Company (JR East) and the Tokyo subway operator Tokyo Metro. Komagome Station is served by the circular Yamanote Line and by the Tokyo Metro Namboku Line subway line.
13,Sugamo,Sugamo Station is a railway station in Toshima; Tokyo; Japan; operated by the East Japan Railway Company (JR East) and Toei Subway. Sugamo Station is served by Yamanote Line and Toei Mita Line.
14,Otsuka,Ōtsuka Station is served by the circular Yamanote Line. A stop on the Tokyo Sakura Tram; named Ōtsuka-ekimae Station is also located underneath Ōtsuka Station. The station consists of an elevated island platform serving the two Yamanote Line tracks. The station has a Midori no Madoguchi staffed ticket office.
15,Ikebukuro,Ikebukuro Station is a major railway station; shared by East Japan Railway Company (JR East); Tokyo subway operator Tokyo Metro; and the two private railways. With 2.71 million passengers on an average daily in 2007; it is the second-busiest railway station in the world (after Shinjuku Station); and the busiest station in the Tobu; Seibu; and Tokyo Metro networks. It is the Tokyo terminal of the Seibu Ikebukuro Line and the Tobu Tojo Line.
16,Mejiro,Mejiro Station has one island platform serving two tracks. The station building is located above the tracks; and accessibility to and from the platforms is provided by escalators as well as lifts. There are several small shops and a bakery/cafe within the station.
17,Takadanobaba,Takadanobaba Station is a major commuting hub; known as a popular student district; and is linked by bus to nearby Waseda University. It is the busiest station on the Seibu Shinjuku Line; and the second-busiest in the Seibu Railway network after Ikebukuro Station. It is the ninth-busiest station in the Tokyo Metro network and the eleventh-busiest station in the JR East network.
18,SURPRISE!,UNDER CONSTRUCTION
19,Shin-Okubo,Shin-Ōkubo Station is located approximately 5 minutes' walk from Shinjuku's Kabukichōdistrict. It is also about a 3-minute walk from Ōkubo Station. Near the station; Okubo-dori (Okubo street) and surrounding side streets are lined with all kinds of small shops; most of them selling Korean food and pop-culture items. Also in the vicinity are Korean-themed bars; nightclubs; and restaurants
20,SURPRISE!,UNDER CONSTRUCTION
21,Shinjuku,Shinjuku Station is a major railway station; serving as the main connecting hub for rail traffic between Tokyo's special wards and Western Tokyo on inter-city rail; commuter rail; and subway lines. It is the world's busiest transport hub (and registered as such with Guinness World Records). The station itself has 36 platforms; including an underground arcade; above ground arcade and numerous hallways. There are well over 200 exits. 
22,Yoyogi,Yoyogi Station is a railway station in Shibuya; Tokyo; Japan; operated by the East Japan Railway Company (JR East) and Tokyo Metropolitan Bureau of Transportation (Toei). It is station E-26 under Toei's numbering system.
23,Harajuku,Harajuku Station is a railway station in Shibuya; Tokyo; Japan; operated by East Japan Railway Company (JR East). The station takes its name from the area on its eastern side; Harajuku. In fiscal 2013; the station was used by an average of 70;866 passengers daily (boarding passengers only); making it the sixtieth-busiest station operated by JR East.
24,Shibuya,Shibuya Station is a railway station in Shibuya; Tokyo; Japan; operated jointly by East Japan Railway Company (JR East); Keio Corporation; Tokyu Corporation; and Tokyo Metro. With 2.4 million passengers on an average weekday in 2004; it is the fourth-busiest commuter rail station in Japan and the world handling a large amount of commuter traffic between the center city and suburbs to the south and west.
25,Ebisu,Ebisu Station is a railway station in the Ebisu neighborhood of Tokyo's Shibuya ward; operated by East Japan Railway Company (JR East) and the Tokyo subway operator Tokyo Metro. The station is named after Yebisu Beer; which was once brewed in an adjacent brewery; and which is itself named for the Japanese deity Ebisu.
26,Meguro,"Meguro Station is a railway station in Tokyo's Shinagawa ward close to the boundary with Meguro ward. The station is just south of Meguro Dori (Meguro Street). It also has a ""Midori no Madoguchi"" staffed ticket office and a View Plaza travel agency."
27,SURPRISE!,UNDER CONSTRUCTION
28,Gotanda,Gotanda Station is a railway station in Shinagawa; Tokyo; Japan; operated by East Japan Railway Company (JR East); the private railway operator Tokyu Corporation; and the Tokyo subway operator Toei. Chest-height platform edge doors were installed on the Yamanote Line platforms in February 2015; with operation commencing in March.
29,Osaki,"Ōsaki Station is a railway station in Shinagawa; Tokyo; Japan; jointly operated by East Japan Railway Company (JR East) and Tokyo Waterfront Area Rapid Transit (TWR). There are two sets of ticket barriers: the ""north"" and ""south"" gates. The north gate provides access to the east and west exits; while the south gate provides access to the new east and new west exits."
30,SURPRISE!,UNDER CONSTRUCTION
31,Shinagawa,Shinagawa Station is a major railway station; which is not served by the Tokyo subway network. However; it is connected to the Toei Asakusa Line via Keikyu through services. Despite its name; the station is not located in Shinagawa ward. Shinagawa is also commonly used to refer to the business district around the station; which is in Takanawa and Konan neighborhoods of Minato; directly north of Shinagawa ward.
32,Tamachi,Tamachi Station is a railway station served by the circular Yamanote Line and the Keihin-Tōhoku Line. All trains stop at this station. Mita Station on the Toei Asakusa Line and Toei Mita Line subway lines is within walking distance; although there is no physical connection and the stations are generally not marked as an interchange on route maps.
33,Hamamatsucho,Hamamatsuchō Station is served by two JR East lines: the circular Yamanote Line and Keihin-Tōhoku Line. All trains on these lines stop at Hamamatsuchō. It is also the terminus of the Tokyo Monorail line to Haneda Airport. The official name of the monorail station is Monorail Hamamatsuchō Station.
34,Shimbashi,Shimbashi Station is a major interchange railway station in Tokyo's Minato Ward; located centrally and a 10-minute walk from the Ginza shopping district; directly south of Tokyo station. Shimbashi is the original terminus of Japan's first stretch of railway; the Tōkaidō Main Line; and is one of Japan's oldest stations.
35,Yurakucho,Yūrakuchō is served by the JR East Keihin-Tōhoku Line and Yamanote Line; and the Tokyo Metro Yurakucho Line subway. On Tokyo subway maps; nearby Hibiya Station is marked as an interchange and is linked to Yurakucho by underground passages.
